Country Code,Country Name,F65,Indicator Code,Indicator Name,Number of Records,Year,Value
NLD,Netherlands,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1988,
NLD,Netherlands,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1988,76.890243902
NLD,Netherlands,,SP.POP.TOTL,"Population, total",1,1988,14760094
NOR,Norway,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1988,
NOR,Norway,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1988,
NOR,Norway,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1988,57759.818732882
NOR,Norway,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1988,
NOR,Norway,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1988,76.220487805
NOR,Norway,,SP.POP.TOTL,"Population, total",1,1988,4209488
SGP,Singapore,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1988,
SGP,Singapore,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1988,
SGP,Singapore,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1988,19710.201755645
SGP,Singapore,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1988,
SGP,Singapore,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1988,74.697560976
SGP,Singapore,,SP.POP.TOTL,"Population, total",1,1988,2846108
IRL,Ireland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1989,
IRL,Ireland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1989,
IRL,Ireland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1989,
IRL,Ireland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1989,
IRL,Ireland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1989,74.595902439
IRL,Ireland,,SP.POP.TOTL,"Population, total",1,1989,3511009
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1989,31889.161913380
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1989,
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1989,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1989,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1989,76.348780488
FRA,France,,SP.POP.TOTL,"Population, total",1,1989,57940212
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1989,31554.645191620
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1989,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1989,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1989,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1989,75.013146341
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1989,78751283
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1989,17186.725133368
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1989,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1989,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1989,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1989,77.029268293
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1989,5686200
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1989,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1989,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1989,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1989,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1989,78.140975610
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1989,252852
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1990,43317.989813679
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1990,17590
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1990,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1990,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1990,74.805365854
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1990,5140939
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1991,43739.623397451
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1991,18370
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1991,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1991,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1991,75.157804878
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1991,5154298
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1991,32775.600408351
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1991,18360
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1991,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1991,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1991,76.848780488
FRA,France,,SP.POP.TOTL,"Population, total",1,1991,58559311
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1991,34206.918586856
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1991,21110
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1991,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1991,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1991,75.319512195
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1991,80013896
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1991,18448.266453998
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1991,18340
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1991,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1974,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1974,72.604878049
FRA,France,,SP.POP.TOTL,"Population, total",1,1974,53592233
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1974,22247.044516584
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1974,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1974,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1974,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1974,71.195414634
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1974,78967433
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1974,7115.020666729
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1974,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1974,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1974,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1974,72.612195122
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1974,4377800
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1974,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1974,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1974,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1974,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1974,74.511707317
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1974,215209
NLD,Netherlands,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1974,
NLD,Netherlands,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1974,
NLD,Netherlands,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1974,28392.886451166
NLD,Netherlands,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1974,
NLD,Netherlands,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1974,74.536829268
NLD,Netherlands,,SP.POP.TOTL,"Population, total",1,1974,13545056
NOR,Norway,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1974,
NOR,Norway,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1974,
NOR,Norway,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1974,
NOR,Norway,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1974,
NOR,Norway,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1974,74.753658537
NOR,Norway,,SP.POP.TOTL,"Population, total",1,1974,3985258
SWE,Sweden,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1974,
SWE,Sweden,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1974,
SWE,Sweden,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1974,29033.004392975
SWE,Sweden,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1974,
SWE,Sweden,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1974,74.980487805
SWE,Sweden,,SP.POP.TOTL,"Population, total",1,1974,8159955
CHE,Switzerland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1974,
CHE,Switzerland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1974,
CHE,Switzerland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1974,55194.236724402
CHE,Switzerland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1974,
CHE,Switzerland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1974,74.287073171
CHE,Switzerland,,SP.POP.TOTL,"Population, total",1,1974,6341405
IRL,Ireland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1975,
IRL,Ireland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1975,
IRL,Ireland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1975,
IRL,Ireland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1975,
IRL,Ireland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1975,71.616609756
IRL,Ireland,,SP.POP.TOTL,"Population, total",1,1975,3189550
AUS,Australia,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1976,27945.660487104
AUS,Australia,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1976,
AUS,Australia,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1976,
AUS,Australia,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1976,
AUS,Australia,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1976,73.014634146
AUS,Australia,,SP.POP.TOTL,"Population, total",1,1976,14033000
CAN,Canada,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1976,26562.170040609
CAN,Canada,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1976,
CAN,Canada,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1976,
CAN,Canada,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1976,
CAN,Canada,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1976,73.856097561
CAN,Canada,,SP.POP.TOTL,"Population, total",1,1976,23449808
NLD,Netherlands,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1976,
NLD,Netherlands,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1976,
NLD,Netherlands,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1976,28885.437555117
NLD,Netherlands,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1976,
NLD,Netherlands,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1976,74.647073171
NLD,Netherlands,,SP.POP.TOTL,"Population, total",1,1976,13774037
NOR,Norway,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1976,
NOR,Norway,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1976,
NOR,Norway,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1976,
NOR,Norway,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1976,
NOR,Norway,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1976,75.039512195
NOR,Norway,,SP.POP.TOTL,"Population, total",1,1976,4026152
SGP,Singapore,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1976,
SGP,Singapore,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1976,
SGP,Singapore,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1976,10198.328257707
SGP,Singapore,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1976,
SGP,Singapore,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1976,70.593975610
SGP,Singapore,,SP.POP.TOTL,"Population, total",1,1976,2293300
GBR,United Kingdom,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1976,
GBR,United Kingdom,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1976,
GBR,United Kingdom,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1976,19992.776971264
GBR,United Kingdom,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1976,
GBR,United Kingdom,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1976,72.775609756
GBR,United Kingdom,,SP.POP.TOTL,"Population, total",1,1976,56211968
USA,United States,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1976,
USA,United States,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1976,
USA,United States,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1976,26358.972286421
USA,United States,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1976,
USA,United States,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1976,72.856097561
USA,United States,,SP.POP.TOTL,"Population, total",1,1976,218035000
AUS,Australia,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1977,28446.815521559
AUS,Australia,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1977,
AUS,Australia,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1977,
AUS,Australia,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1977,
AUS,Australia,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1977,73.344390244
AUS,Australia,,SP.POP.TOTL,"Population, total",1,1977,14192000
CAN,Canada,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1977,27067.897234854
CAN,Canada,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1977,
CAN,Canada,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1977,
CAN,Canada,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1977,
CAN,Canada,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1977,74.215609756
CAN,Canada,,SP.POP.TOTL,"Population, total",1,1977,23725843
DNK,Denmark,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1978,35251.666448891
DNK,Denmark,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1978,
DNK,Denmark,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1978,
DNK,Denmark,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1978,
DNK,Denmark,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1978,74.392926829
DNK,Denmark,,SP.POP.TOTL,"Population, total",1,1978,5104248
FRA,France,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1978,25859.954850714
FRA,France,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1978,
FRA,France,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1978,
FRA,France,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1978,
FRA,France,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1978,73.602439024
FRA,France,,SP.POP.TOTL,"Population, total",1,1978,54691851
DEU,Germany,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1978,25014.266813486
DEU,Germany,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1978,
DEU,Germany,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1978,
DEU,Germany,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1978,
DEU,Germany,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1978,72.143292683
DEU,Germany,,SP.POP.TOTL,"Population, total",1,1978,78091820
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1978,9417.491800107
HKG,"Hong Kong SAR, China",,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1978,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1978,
HKG,"Hong Kong SAR, China",,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1978,
HKG,"Hong Kong SAR, China",,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1978,73.575609756
HKG,"Hong Kong SAR, China",,SP.POP.TOTL,"Population, total",1,1978,4667500
ISL,Iceland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1978,
ISL,Iceland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1978,
ISL,Iceland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1978,
ISL,Iceland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1978,
ISL,Iceland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1978,76.649268293
ISL,Iceland,,SP.POP.TOTL,"Population, total",1,1978,223537
IRL,Ireland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1978,
IRL,Ireland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1978,
IRL,Ireland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1978,
IRL,Ireland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1978,
IRL,Ireland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1978,72.173731707
IRL,Ireland,,SP.POP.TOTL,"Population, total",1,1978,3329100
CAN,Canada,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1978,27681.250301446
CAN,Canada,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1978,
CAN,Canada,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1978,
CAN,Canada,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1978,
CAN,Canada,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1978,74.529756098
CAN,Canada,,SP.POP.TOTL,"Population, total",1,1978,23963203
AUS,Australia,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1979,29063.454182032
AUS,Australia,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1979,
AUS,Australia,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1979,
AUS,Australia,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1979,
AUS,Australia,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1979,74.003902439
AUS,Australia,,SP.POP.TOTL,"Population, total",1,1979,14514000
CAN,Canada,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1979,28345.440116338
CAN,Canada,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1979,
CAN,Canada,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1979,
CAN,Canada,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1979,
CAN,Canada,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1979,74.866341463
CAN,Canada,,SP.POP.TOTL,"Population, total",1,1979,24201544
SGP,Singapore,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1979,
SGP,Singapore,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1979,
SGP,Singapore,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1979,12402.764852740
SGP,Singapore,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1979,
SGP,Singapore,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1979,71.682731707
SGP,Singapore,,SP.POP.TOTL,"Population, total",1,1979,2383500
AUS,Australia,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1980,29627.136945059
AUS,Australia,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1980,
AUS,Australia,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1980,
AUS,Australia,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1980,
AUS,Australia,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1980,74.333658537
AUS,Australia,,SP.POP.TOTL,"Population, total",1,1980,14692000
CAN,Canada,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1980,28587.059927470
CAN,Canada,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1980,
CAN,Canada,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1980,
CAN,Canada,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1980,
CAN,Canada,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1980,75.078048780
CAN,Canada,,SP.POP.TOTL,"Population, total",1,1980,24515667
AUS,Australia,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1981,30329.792036882
AUS,Australia,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1981,
AUS,Australia,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1981,
AUS,Australia,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1981,
AUS,Australia,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1981,74.663414634
AUS,Australia,,SP.POP.TOTL,"Population, total",1,1981,14927000
CAN,Canada,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1981,29023.818258575
CAN,Canada,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1981,
CAN,Canada,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1981,
CAN,Canada,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1981,
CAN,Canada,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1981,75.463414634
CAN,Canada,,SP.POP.TOTL,"Population, total",1,1981,24819915
NLD,Netherlands,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1981,
NLD,Netherlands,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1981,
NLD,Netherlands,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1981,29917.199396019
NLD,Netherlands,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1981,
NLD,Netherlands,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1981,75.934390244
NLD,Netherlands,,SP.POP.TOTL,"Population, total",1,1981,14247208
NOR,Norway,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1981,
NOR,Norway,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1981,
NOR,Norway,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1981,47745.973671227
NOR,Norway,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1981,
NOR,Norway,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1981,75.869024390
NOR,Norway,,SP.POP.TOTL,"Population, total",1,1981,4099702
SWE,Sweden,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1981,
SWE,Sweden,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1981,
SWE,Sweden,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1981,30778.758328529
SWE,Sweden,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1981,
SWE,Sweden,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1981,76.026097561
SWE,Sweden,,SP.POP.TOTL,"Population, total",1,1981,8320503
CHE,Switzerland,,SH.XPD.CHEX.PC.CD,Current health expenditure per capita (current US$),1,1981,
CHE,Switzerland,,SH.XPD.CHEX.PP.CD,"Current health expenditure per capita, PPP (current international $)",1,1981,
CHE,Switzerland,,NY.GNP.PCAP.KD,GNI per capita (constant 2010 US$),1,1981,56860.593323097
CHE,Switzerland,,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1,1981,
CHE,Switzerland,,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1,1981,75.693170732
